query_name,query_complexity,total_subplans,prim_subplans,kruskal_subplans,distinct_subplans,duplicate_subplans
1a,19.0,14,14,14,14
1b,19.0,14,14,14,14
1c,19.0,14,14,14,14
1d,19.0,14,14,14,14
2a,19.0,14,13,14,13
2b,19.0,14,13,14,13
2c,19.0,14,13,14,13
2d,19.0,14,13,14,13
3a,12.0,8,8,8,8
3b,12.0,8,8,8,8
3c,12.0,8,8,8,8
4a,19.0,14,14,14,14
4b,19.0,14,13,14,13
4c,19.0,14,13,14,13
5a,19.0,14,14,14,14
5b,19.0,14,13,14,13
5c,19.0,14,13,14,13
6a,19.0,14,14,14,14
6b,19.0,13,13,13,13
6c,19.0,14,14,14,14
6d,19.0,14,14,14,14
6e,19.0,14,14,14,14
6f,19.0,14,13,14,13
8a,58.0,46,44,47,43
8b,58.0,45,44,47,42
8c,58.0,43,37,46,34
8d,58.0,43,37,46,34
9a,107.0,68,57,69,56
9b,107.0,68,56,69,55
9c,107.0,67,57,69,55
9d,107.0,72,58,73,57
10a,53.0,38,36,40,34
10b,53.0,37,36,38,35
10c,53.0,36,34,38,32
17a,56.0,44,35,46,33
17b,56.0,45,36,47,34
17c,56.0,45,36,47,34
17d,56.0,45,36,47,34
17e,56.0,43,35,45,33
17f,56.0,44,35,46,33
18a,56.0,46,45,46,45
18b,56.0,46,41,46,41
18c,56.0,45,42,45,42
32a,24.0,17,14,17,14
32b,24.0,17,14,17,14
7a,90.0,64,50,66,48
7b,90.0,64,50,67,47
7c,90.0,63,50,67,46
11a,93.0,68,52,73,47
11b,93.0,59,59,61,57
11c,93.0,68,61,72,57
11d,93.0,69,51,73,47
12a,93.0,64,55,65,54
12b,93.0,57,57,57,57
12c,93.0,68,54,70,52
13a,139.0,93,83,95,81
13b,139.0,85,70,88,67
13c,139.0,85,70,88,67
13d,139.0,93,73,96,70
14a,84.0,69,52,72,49
14b,84.0,66,59,72,53
14c,84.0,69,52,70,51
15a,183.0,107,81,108,80
15b,183.0,112,103,128,87
15c,183.0,102,76,103,75
15d,183.0,101,78,102,77
16a,94.0,64,49,68,45
16b,94.0,66,49,70,45
16c,94.0,66,49,70,45
16d,94.0,64,49,68,45
19a,312.0,161,159,183,137
19b,312.0,161,179,190,150
19c,312.0,152,124,158,118
19d,312.0,154,126,161,119
20a,230.0,125,128,148,105
20b,230.0,127,128,147,108
20c,230.0,126,108,150,84
21a,183.0,119,91,134,76
21b,183.0,119,89,133,75
21c,183.0,119,83,128,74
22a,410.0,225,194,251,168
22b,410.0,225,194,251,168
22c,410.0,215,140,238,117
22d,410.0,214,150,233,131
23a,410.0,167,124,178,113
23b,410.0,202,145,224,123
23c,410.0,168,123,179,112
24a,925.0,318,298,371,245
24b,925.0,319,304,377,246
25a,165.0,119,106,126,99
25b,165.0,103,104,108,99
25c,165.0,123,114,130,107
26a,681.0,249,186,290,145
26b,681.0,256,186,288,154
26c,681.0,262,217,309,170
33a,1517.0,370,271,422,219
33b,1517.0,354,275,410,219
33c,1517.0,370,271,418,223
27a,905.0,305,253,414,144
27b,905.0,309,270,415,164
27c,905.0,305,226,391,140
28a,2032.0,480,302,573,209
28b,2032.0,515,491,692,314
28c,2032.0,484,302,587,199
29a,13246.0,975,729,1369,335
29b,13246.0,979,735,1377,337
29c,13246.0,936,902,1375,463
30a,815.0,332,320,412,240
30b,815.0,309,317,383,243
30c,815.0,348,325,445,228
31a,490.0,268,251,298,221
31b,490.0,259,245,318,186
31c,490.0,269,260,301,228
