query_name,total_subplans,prim_subplans,kruskal_subplans,distinct_subplans,duplicate_subplans
1a,5,19.0,14,14,14,14
1b,5,19.0,14,14,14,14
1c,5,19.0,14,14,14,14
1d,5,19.0,14,14,14,14
2a,5,19.0,14,14,14,14
2b,5,19.0,14,14,14,14
2c,5,19.0,14,14,14,14
2d,5,19.0,14,13,14,13
3a,4,12.0,8,8,8,8
3b,4,12.0,8,8,8,8
3c,4,12.0,8,8,8,8
4a,5,19.0,14,14,14,14
4b,5,19.0,14,14,14,14
4c,5,19.0,14,14,14,14
5a,5,19.0,14,14,14,14
5b,5,19.0,14,14,14,14
5c,5,19.0,14,13,14,13
6a,5,19.0,14,14,14,14
6b,5,19.0,14,14,14,14
6c,5,19.0,14,14,14,14
6d,5,19.0,14,14,14,14
6e,5,19.0,14,14,14,14
6f,5,19.0,14,13,14,13
8a,8,58.0,45,38,45,38
8b,8,58.0,40,38,41,37
8c,8,58.0,43,38,45,36
8d,8,58.0,43,38,44,37
9a,9,107.0,63,56,63,56
9b,9,107.0,68,62,68,62
9c,9,107.0,67,54,67,54
9d,9,107.0,70,58,73,55
10a,7,53.0,38,38,38,38
10b,7,53.0,37,36,38,35
10c,7,53.0,36,35,38,33
17a,9,56.0,46,35,46,35
17b,9,56.0,46,42,47,41
17c,9,56.0,46,42,46,42
17d,9,56.0,46,42,46,42
17e,9,56.0,45,35,46,34
17f,9,56.0,46,35,46,35
18a,9,56.0,46,45,46,45
18b,9,56.0,43,38,43,38
18c,9,56.0,45,40,45,40
32a,5,24.0,17,17,17,17
32b,5,24.0,17,15,17,15
7a,11,90.0,67,50,67,50
7b,11,90.0,66,51,69,48
7c,11,90.0,68,52,70,50
11a,10,93.0,68,54,68,54
11b,10,93.0,57,57,57,57
11c,10,93.0,67,62,68,61
11d,10,93.0,68,60,71,57
12a,10,93.0,63,58,67,54
12b,10,93.0,65,65,65,65
12c,10,93.0,63,57,66,54
13a,11,139.0,89,73,94,68
13b,11,139.0,86,67,89,64
13c,11,139.0,88,73,91,70
13d,11,139.0,93,79,98,74
14a,10,84.0,66,56,68,54
14b,10,84.0,65,55,66,54
14c,10,84.0,65,54,67,52
15a,14,183.0,103,81,104,80
15b,14,183.0,115,99,120,94
15c,14,183.0,101,73,102,72
15d,14,183.0,101,78,102,77
16a,11,94.0,63,53,63,53
16b,11,94.0,66,51,69,48
16c,11,94.0,65,49,66,48
16d,11,94.0,65,49,66,48
19a,13,312.0,130,116,145,101
19b,13,312.0,122,124,131,115
19c,13,312.0,131,109,142,98
19d,13,312.0,154,114,164,104
20a,12,230.0,120,125,136,109
20b,12,230.0,117,118,122,113
20c,12,230.0,123,105,135,93
21a,14,183.0,120,90,120,90
21b,14,183.0,117,93,119,91
21c,14,183.0,119,87,119,87
22a,16,410.0,192,153,202,143
22b,16,410.0,199,173,222,150
22c,16,410.0,188,141,202,127
22d,16,410.0,188,133,197,124
23a,16,410.0,182,127,188,121
23b,16,410.0,198,160,211,147
23c,16,410.0,175,119,181,113
24a,18,925.0,286,270,321,235
24b,18,925.0,236,235,247,224
25a,14,165.0,115,88,118,85
25b,14,165.0,98,97,102,93
25c,14,165.0,118,106,118,106
26a,17,681.0,239,199,266,172
26b,17,681.0,243,194,264,173
26c,17,681.0,252,203,289,166
33a,19,1517.0,354,259,381,232
33b,19,1517.0,342,270,386,226
33c,19,1517.0,350,265,385,230
27a,21,905.0,301,240,329,212
27b,21,905.0,321,269,368,222
27c,21,905.0,294,215,315,194
28a,23,2032.0,405,337,492,250
28b,23,2032.0,443,424,560,307
28c,23,2032.0,416,347,515,248
29a,28,13246.0,662,667,824,505
29b,28,13246.0,641,709,903,447
29c,28,13246.0,784,625,975,434
30a,21,815.0,325,243,359,209
30b,21,815.0,267,273,300,240
30c,21,815.0,355,206,369,192
31a,20,490.0,255,220,270,205
31b,20,490.0,227,220,253,194
31c,20,490.0,258,237,269,226
