query,psql opt (ms),psql exec (ms),psql total (ms)
1a,3.34,715.215,720.498
1b,3.389,859.172,864.556
1c,3.382,1097.667,1103.203
1d,3.324,928.591,933.994
2a,3.443,2199.316,2206.685
2b,4.951,2184.305,2190.039
2c,3.448,2148.837,2155.983
2d,4.926,2230.92,2236.199
3a,2.371,1907.371,1911.896
3b,3.307,1229.417,1235.211
3c,2.749,2263.933,2268.646
4a,3.303,923.914,930.941
4b,3.297,755.817,761.091
4c,3.327,1009.784,1015.063
5a,3.529,1454.102,1459.687
5b,3.627,1831.394,1839.186
5c,3.563,1964.125,1971.741
6a,5.008,8723.321,8730.698
6b,3.281,9451.2,9456.594
6c,3.579,9729.158,9734.788
6d,5.12,8790.617,8798.474
6e,4.145,8757.602,8762.942
6f,5.234,8676.051,8682.608
8a,13.728,2435.743,2451.636
8b,14.367,6563.596,6581.445
8c,12.015,5529.565,5543.536
8d,13.126,3791.063,3806.178
9a,15.952,2635.061,2653.226
9b,18.844,2826.496,2848.0
9c,21.517,3124.508,3150.676
9d,15.084,4411.379,4428.435
10a,12.187,2828.944,2843.501
10b,12.414,5507.978,5522.437
10c,11.744,5619.987,5633.94
17a,18.462,10020.418,10037.672
17b,18.075,4592.918,4608.884
17c,16.035,4505.467,4521.474
17d,17.337,4544.805,4568.534
17e,20.108,10498.642,10517.59
17f,19.725,9333.172,9356.082
18a,18.228,3956.945,3977.716
18b,19.912,8508.002,8528.263
18c,21.983,9150.777,9170.281
32a,6.049,1114.302,1121.931
32b,6.175,1422.279,1430.151
7a,20.542,8444.335,8472.636
7b,17.553,9401.11,9420.977
7c,18.138,4841.005,4862.061
11a,17.567,1330.353,1350.344
11b,15.325,876.958,894.337
11c,15.063,1163.703,1181.132
11d,17.153,2471.882,2491.32
12a,17.204,2058.884,2078.24
12b,17.466,2229.697,2249.431
12c,16.945,2823.746,2842.946
13a,18.124,2546.032,2566.302
13b,17.851,2086.519,2107.01
13c,18.202,2044.669,2072.0
13d,14.763,1954.828,1971.645
14a,16.143,3323.333,3341.518
14b,16.218,2275.429,2293.91
14c,16.077,2670.261,2688.445
15a,22.273,3875.701,3900.365
15b,21.582,1534.529,1558.318
15c,21.642,2413.825,2437.706
15d,25.104,2370.406,2402.901
16a,23.648,19143.988,19167.638
16b,23.514,22358.03,22380.404
16c,20.415,19780.976,19807.908
16d,20.949,18367.755,18392.614
19a,24.459,4201.728,4226.77
19b,24.754,9934.199,9965.628
19c,26.171,10739.224,10764.098
19d,23.379,6641.889,6668.008
20a,20.228,10384.509,10407.009
20b,20.098,9772.072,9794.773
20c,20.732,11980.871,12003.879
21a,23.214,2816.42,2842.008
21b,23.285,2397.514,2423.557
21c,23.767,2851.689,2878.142
22a,25.809,2745.496,2773.621
22b,26.617,2796.169,2830.305
22c,25.714,4548.425,4576.435
22d,25.465,3178.995,3206.308
23a,25.366,2328.417,2356.14
23b,25.415,1870.511,1898.197
23c,25.552,2349.076,2376.931
24a,31.278,5816.343,5848.152
24b,28.519,7617.072,7647.889
25a,21.903,13984.04,14015.324
25b,19.744,9308.733,9333.748
25c,27.309,10374.924,10405.986
26a,27.809,10677.65,10716.083
26b,27.623,8617.052,8648.736
26c,28.336,10988.841,11025.715
33a,38.632,2342.477,2381.38
33b,36.153,3253.418,3291.826
33c,40.548,2722.437,2761.266
27a,38.718,4323.984,4358.932
27b,32.602,3265.074,3300.233
27c,33.059,3596.496,3639.964
28a,34.667,2757.007,2803.373
28b,31.848,1613.258,1647.643
28c,35.37,3742.857,3786.649
29a,46.413,12055.975,12105.396
29b,51.937,9186.196,9243.199
29c,52.111,11256.522,11311.504
30a,31.23,12525.133,12556.858
30b,28.186,12256.836,12287.276
30c,34.889,10410.662,10448.709
31a,32.546,10956.33,10991.759
31b,29.284,7525.711,7555.104
31c,33.705,10730.164,10766.9
